"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"403",0,0,0,1,1,4,1,3,5
"404",0,0,0,4,2,0,1,1,1
"405",0,0,0,1,1,2,3,6,1
"406",0,0,0,1,3,3,3,1,2
"407",0,0,0,2,2,3,0,3,3
"408",0,0,0,2,1,3,3,4,3
"409",0,0,0,2,2,1,2,2,2
"410",0,0,0,2,0,1,1,3,4
"411",0,0,0,3,1,3,3,3,0
"412",0,0,0,0,1,2,2,3,2
"413",0,0,0,2,1,6,2,3,1
"414",0,0,0,4,3,1,3,3,2
"415",0,0,0,4,2,1,0,1,5
"416",0,0,0,4,2,1,2,3,2
"417",0,0,0,2,2,3,2,3,1
"418",0,0,0,1,2,0,1,4,2
"419",0,0,0,1,5,0,3,4,1
"420",0,0,0,1,5,3,1,1,1
"421",0,0,0,0,2,0,5,1,0
"422",0,0,0,2,3,1,3,4,0
"423",0,0,0,3,0,3,0,1,4
"424",0,0,0,1,3,4,3,1,1
"425",0,0,0,2,3,2,2,0,0
"426",0,0,0,4,1,2,0,2,3
"427",0,0,0,4,1,0,5,2,4
"428",0,0,0,3,1,1,1,1,1
"429",NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",0,0,0,4,2,2,2,2,0
"431",0,0,0,2,1,5,2,0,3
"432",0,0,0,9,2,3,2,2,4
"433",0,0,0,2,5,2,0,0,2
"434",0,0,0,1,3,2,3,0,2
"435",0,0,0,1,0,1,3,2,0
"436",0,0,0,7,3,2,1,0,1
"437",0,0,0,5,1,3,2,3,2
"438",0,0,0,3,1,4,3,1,1
"439",0,0,0,1,2,1,0,5,6
"440",0,0,0,3,1,5,1,3,3
"441",0,0,0,3,4,2,4,1,2
"442",0,0,0,4,1,4,1,1,0
"443",0,0,0,3,2,6,0,0,3
"444",0,0,0,5,2,2,1,3,2
"445",0,0,0,3,3,1,1,1,1
"446",0,0,0,2,2,4,1,2,0
"447",0,0,0,5,5,1,2,1,2
"448",0,0,0,2,2,2,2,2,1
"449",0,0,0,3,5,0,1,2,1
"450",0,0,0,3,1,7,3,2,2
"451",0,0,0,1,3,3,1,0,0
"452",0,0,0,2,2,1,2,0,1
"453",0,0,0,2,4,1,2,2,1
"454",0,0,0,0,1,0,3,1,2
"455",0,0,0,5,1,0,3,3,2
"456",0,0,0,4,4,0,2,2,0
"457",0,0,0,3,2,0,0,2,2
"458",0,0,0,2,2,2,2,1,1
"459",0,0,0,0,2,2,2,2,2
"460",0,0,0,3,3,4,1,1,3
"461",0,0,0,4,2,5,2,5,2
"462",0,0,0,5,1,2,2,4,2
"463",0,0,0,3,1,3,2,1,4
"464",0,0,0,2,4,1,0,3,1
"465",0,0,0,2,2,2,3,0,1
"466",0,0,0,4,2,2,1,3,3
"467",0,0,0,1,0,1,1,5,1
"468",0,0,0,6,0,2,0,1,2
"469",0,0,0,4,1,1,4,1,5
"470",0,0,0,3,2,2,4,0,2
"471",0,0,0,1,0,2,2,2,3
"472",0,0,0,5,2,2,2,1,3
"473",0,0,0,3,3,2,4,2,1
"474",0,0,0,0,1,1,1,0,2
"475",0,0,0,1,2,4,3,4,1
"476",0,0,0,3,2,2,0,1,2
"477",0,0,0,3,5,4,2,1,5
"478",0,0,0,4,5,1,2,3,2
"479",0,0,0,1,3,5,4,7,1
"480",0,0,0,2,3,2,2,1,1
"481",NA,NA,NA,NA,NA,NA,NA,NA,NA
"482",0,0,0,1,2,1,3,2,3
"483",0,0,0,2,2,3,1,1,1
"484",0,0,0,0,3,6,2,1,0
"485",0,0,0,1,2,2,1,1,2
"486",0,0,0,3,3,1,4,3,2
"487",0,0,0,2,4,4,2,2,1
"488",0,0,0,4,3,4,1,2,1
"489",0,0,0,3,3,0,4,2,1
"490",0,0,0,3,2,2,1,3,2
"491",0,0,0,0,5,1,2,3,1
"492",0,0,0,2,2,2,0,0,1
"493",0,0,0,0,3,2,2,3,3
"494",0,0,0,4,0,3,3,3,2
"495",0,0,0,4,2,3,3,1,1
"496",0,0,0,2,2,1,1,1,1
"497",0,0,0,0,3,3,2,1,0
"498",0,0,0,0,2,0,2,2,2
"499",0,0,0,0,3,2,3,2,4
"500",0,0,0,2,3,1,2,2,2
"501",0,0,0,4,0,1,1,4,2
"502",0,0,0,1,3,3,1,2,0
"503",0,0,0,2,4,4,7,1,1
"504",0,0,0,2,1,0,2,0,3
"505",0,0,0,2,1,1,1,1,2
"506",0,0,0,2,2,2,3,3,0
"507",0,0,0,0,1,0,2,3,1
"508",0,0,0,0,1,2,1,4,2
"509",0,0,0,1,5,2,0,1,0
"510",0,0,0,3,5,5,1,1,2
"511",0,0,0,0,0,2,2,2,3
"512",0,0,0,5,0,1,1,0,2
"513",0,0,0,2,1,7,1,0,1
"514",0,0,0,1,2,5,2,0,2
"515",0,0,0,2,3,0,2,4,1
"516",0,0,0,4,3,0,0,3,1
"517",0,0,0,2,1,2,1,3,0
"518",0,0,0,1,5,0,4,1,0
"519",0,0,0,1,4,5,3,1,3
"520",0,0,0,0,1,4,0,0,3
"521",0,0,0,6,5,3,1,1,3
"522",0,0,0,2,3,1,3,0,1
"523",0,0,0,1,3,1,2,2,2
"524",0,0,0,2,6,1,2,2,2
"525",0,0,0,3,2,1,1,0,0
"526",0,0,0,0,1,2,2,1,2
"527",0,0,0,4,1,2,1,2,0
"528",0,0,0,4,4,2,1,5,1
"529",0,0,0,4,2,3,1,3,3
"530",0,0,0,2,1,1,2,0,3
"531",0,0,0,1,1,5,4,3,1
"532",0,0,0,5,3,3,2,4,1
