"","V1","V2"
"992",27,33
"993",18,42
"994",21,39
"995",27,33
"996",21,39
"997",24,36
"998",18,42
"999",18,42
"1000",27,33
"1001",27,33
"1002",24,36
"1003",21,39
"1004",27,33
"1005",24,36
"1006",24,36
"1007",21,39
"1008",18,42
"1009",18,42
"1010",24,36
"1011",24,36
"1012",27,33
"1013",18,42
"1014",9,51
"1015",27,33
"1016",27,33
"1017",27,33
"1018",27,33
"1019",18,42
"1020",21,39
"1021",21,39
"1022",27,33
"1023",21,39
"1024",27,33
"1025",21,39
"1026",27,33
"1027",27,33
"1028",27,33
"1029",27,33
"1030",18,42
"1031",21,39
"1032",18,42
"1033",27,33
"1034",27,33
"1035",27,33
"1036",27,33
"1037",24,36
"1038",27,33
"1039",18,42
"1040",27,33
"1041",21,39
"1042",27,33
"1043",27,33
"1044",18,42
"1045",27,33
"1046",27,33
"1047",27,33
"1048",21,39
"1049",27,33
"1050",21,39
"1051",27,33
"1052",18,42
"1053",27,33
"1054",24,36
"1055",18,42
"1056",27,33
"1057",24,36
"1058",21,39
"1059",27,33
"1060",27,33
"1061",24,36
"1062",21,39
"1063",21,39
"1064",18,42
"1065",15,45
"1066",27,33
"1067",27,33
"1068",27,33
"1069",27,33
"1070",18,42
"1071",27,33
"1072",24,36
"1073",24,36
"1074",18,42
"1075",27,33
"1076",21,39
"1077",21,39
"1078",24,36
"1079",21,39
"1080",18,42
"1081",21,39
"1082",27,33
"1083",27,33
"1084",27,33
"1085",18,42
"1086",18,42
"1087",27,33
"1088",24,36
"1089",27,33
"1090",27,33
"1091",18,42
"1092",27,33
"1093",21,39
"1094",27,33
"1095",24,36
"1096",24,36
"1097",24,36
"1098",24,36
"1099",21,39
"1100",27,33
"1101",27,33
"1102",24,36
"1103",24,36
"1104",27,33
"1105",27,33
"1106",24,36
"1107",27,33
"1108",24,36
"1109",21,39
"1110",18,42
"1111",24,36
"1112",27,33
"1113",27,33
"1114",27,33
"1115",24,36
"1116",24,36
"1117",18,42
"1118",21,39
"1119",18,42
"1120",21,39
"1121",24,36
"1122",27,33
"1123",27,33
"1124",18,42
"1125",18,42
"1126",24,36
"1127",27,33
"1128",27,33
"1129",18,42
"1130",27,33
"1131",27,33
"1132",27,33
"1133",21,39
"1134",24,36
"1135",24,36
"1136",24,36
"1137",24,36
"1138",27,33
"1139",18,42
"1140",27,33
"1141",27,33
"1142",27,33
"1143",27,33
"1144",21,39
"1145",21,39
"1146",18,42
"1147",18,42
"1148",24,36
"1149",27,33
"1150",27,33
"1151",18,42
"1152",27,33
"1153",27,33
"1154",27,33
"1155",27,33
"1156",24,36
"1157",27,33
"1158",27,33
"1159",24,36
"1160",27,33
"1161",18,42
"1162",27,33
"1163",24,36
"1164",21,39
"1165",27,33
"1166",21,39
"1167",18,42
"1168",27,33
"1169",24,36
"1170",24,36
"1171",21,39
"1172",24,36
"1173",27,33
"1174",27,33
"1175",18,42
"1176",27,33
"1177",27,33
"1178",27,33
"1179",18,42
"1180",27,33
"1181",27,33
"1182",21,39
"1183",24,36
"1184",24,36
"1185",27,33
"1186",21,39
"1187",18,42
"1188",27,33
"1189",18,42
"1190",24,36
"1191",24,36
"1192",27,33
"1193",21,39
"1194",24,36
"1195",27,33
"1196",27,33
"1197",27,33
"1198",24,36
"1199",18,42
"1200",21,39
"1201",27,33
"1202",18,42
"1203",24,36
"1204",21,39
"1205",27,33
"1206",18,42
"1207",27,33
"1208",21,39
"1209",18,42
"1210",27,33
"1211",18,42
"1212",21,39
"1213",18,42
"1214",27,33
"1215",27,33
"1216",27,33
"1217",27,33
"1218",24,36
"1219",18,42
"1220",18,42
"1221",27,33
"1222",27,33
"1223",18,42
"1224",21,39
"1225",27,33
"1226",18,42
"1227",27,33
"1228",24,36
"1229",27,33
"1230",21,39
"1231",18,42
"1232",27,33
"1233",18,42
"1234",24,36
"1235",27,33
"1236",24,36
"1237",18,42
"1238",27,33
"1239",18,42
"1240",27,33
"1241",24,36
"1242",27,33
"1243",27,33
"1244",27,33
"1245",27,33
"1246",27,33
"1247",27,33
"1248",27,3
"1249",27,33
"1250",18,42
"1251",18,42
"1252",18,42
"1253",27,33
"1254",18,42
"1255",24,36
"1256",27,33
"1257",27,33
"1258",18,42
"1259",18,42
"1260",21,39
"1261",27,33
"1262",27,33
"1263",27,33
"1264",18,42
"1265",21,39
"1266",27,33
"1267",27,33
"1268",27,33
"1269",21,39
"1270",21,39
"1271",27,33
"1272",18,42
"1273",24,36
"1274",21,39
"1275",24,36
"1276",27,33
"1277",27,33
"1278",18,42
"1279",27,33
"1280",27,33
"1281",24,36
"1282",18,42
"1283",27,33
