"","pro","eff","dose"
"181",0.106784163166395,0.0707070707070707,1
"182",0.09547992926401,0.101010101010101,1
"183",0.141003683531239,0.0303030303030303,1
"184",0.120880961054029,0.242424242424242,1
"185",0.13094298424243,0.191919191919192,1
"186",0.128641495956717,0.0606060606060606,1
"187",0.114118878928824,0.0101010101010101,1
"188",0.121901671631307,0.0909090909090909,1
"189",0.125945555133876,0.0101010101010101,1
"190",0.0888349381416623,0.0101010101010101,1
"191",0.108396514914712,0.363636363636364,1
"192",0.119921684566699,0.0101010101010101,1
"193",0.108401157168691,0.242424242424242,1
"194",0.104595408426525,0.0101010101010101,1
"195",0.0986743191770164,0.0101010101010101,1
"196",0.129692906686822,0.0404040404040404,1
"197",0.128844008971101,0.161616161616162,1
"198",0.0820512358317615,0.0404040404040404,1
"199",0.146972673682773,0.0404040404040404,1
"200",0.131865283183272,0.0606060606060606,1
"201",0.162576986915299,0.0101010101010101,1
"202",0.113019286319313,0.111111111111111,1
"203",0.142687018786361,0.0101010101010101,1
"204",0.134776611511774,0.0505050505050505,1
"205",0.148775347150051,0.0404040404040404,1
"206",0.0996961194431976,0.0101010101010101,1
"207",0.152338600671174,0.222222222222222,1
"208",0.137290456304461,0.141414141414141,1
"209",0.103075257541753,0.202020202020202,1
"210",0.114221683748464,0.0505050505050505,1
"211",0.107299109962618,0.0202020202020202,1
"212",0.1377684882725,0.0606060606060606,1
"213",0.162447088728771,0.252525252525253,1
"214",0.129230131690015,0.0202020202020202,1
"215",0.124667399329336,0.0303030303030303,1
"216",0.103305088603835,0.0101010101010101,1
"217",0.124366732141785,0.0505050505050505,1
"218",0.147072162457347,0.0101010101010101,1
"219",0.121170164674153,0.141414141414141,1
"220",0.109068574697534,0.0303030303030303,1
"221",0.132466388198838,0.0404040404040404,1
"222",0.134562392064623,0.272727272727273,1
"223",0.115237468188772,0.0606060606060606,1
"224",0.140229424819451,0.111111111111111,1
"225",0.113086814741262,0.0101010101010101,1
"226",0.133018319187824,0.0101010101010101,1
"227",0.125423024826686,0.0303030303030303,1
"228",0.109535947512771,0.0101010101010101,1
"229",0.106552366357717,0.242424242424242,1
"230",0.142655994826692,0.0606060606060606,1
"231",0.140499220939428,0.0101010101010101,1
"232",0.116092583304574,0.0303030303030303,1
"233",0.154905571543736,0.0101010101010101,1
"234",0.106544994716925,0.101010101010101,1
"235",0.106021824952663,0.111111111111111,1
"236",0.104508145952431,0.0202020202020202,1
"237",0.138052077447056,0.232323232323232,1
"238",0.114603032834224,0.272727272727273,1
"239",0.0936093030788069,0.0101010101010101,1
"240",0.107621903064149,0.191919191919192,1
"241",0.0962412133642396,0.0101010101010101,1
"242",0.1551202942201,0.0606060606060606,1
"243",0.124928512491217,0.0101010101010101,1
"244",0.118457394509651,0.0303030303030303,1
"245",0.079418860975465,0.0404040404040404,1
"246",0.108746771003035,0.181818181818182,1
"247",0.0916126426095659,0.262626262626263,1
"248",0.101743273891378,0.0404040404040404,1
"249",0.114915134881786,0.0101010101010101,1
"250",0.094444289987871,0.0505050505050505,1
"251",0.113386012030868,0.303030303030303,1
"252",0.128109604330693,0.0101010101010101,1
"253",0.120438503274783,0.0303030303030303,1
"254",0.1228497318247,0.0606060606060606,1
"255",0.114664314793981,0.0303030303030303,1
"256",0.0913698350348825,0.0606060606060606,1
"257",0.100238304753472,0.0202020202020202,1
"258",0.135319304999,0.0101010101010101,1
"259",0.10958200971674,0.111111111111111,1
"260",0.113209604941244,0.0404040404040404,1
"261",0.17854585730421,0.202020202020202,1
"262",0.115069993397201,0.121212121212121,1
"263",0.101165246038025,0.0303030303030303,1
"264",0.125146366386923,0.121212121212121,1
"265",0.135336707042533,0.111111111111111,1
"266",0.085321379773257,0.0404040404040404,1
"267",0.0982609059310026,0.0101010101010101,1
"268",0.113978314192611,0.0101010101010101,1
"269",0.133895742507233,0.0707070707070707,1
"270",0.115903728585151,0.0707070707070707,1
"271",0.112597099606201,0.0202020202020202,1
"272",0.120028976584285,0.0505050505050505,1
"273",0.125842228194012,0.0101010101010101,1
"274",0.145576150065444,0.141414141414141,1
"275",0.109333857716193,0.121212121212121,1
"276",0.125145376478639,0.0101010101010101,1
"277",0.139637883217103,0.0707070707070707,1
"278",0.103340433890983,0.0303030303030303,1
"279",0.138497539340148,0.141414141414141,1
"280",0.137998648500089,0.0202020202020202,1
"281",0.131045982865662,0.0404040404040404,1
"282",0.116231499162341,0.0101010101010101,1
"283",0.121146100499762,0.101010101010101,1
"284",0.114434817107194,0.0101010101010101,1
"285",0.141523771788861,0.171717171717172,1
"286",0.108227446625429,0.0909090909090909,1
"287",0.0845396223075975,0.222222222222222,1
"288",0.12697548294009,0.0101010101010101,1
"289",0.146808831608406,0.0101010101010101,1
"290",0.112139184541735,0.0505050505050505,1
"291",0.0977228713146855,0.0202020202020202,1
"292",0.114663971164255,0.0202020202020202,1
"293",0.102097106081481,0.0909090909090909,1
"294",0.117053497096351,0.0707070707070707,1
"295",0.107177479881011,0.131313131313131,1
"296",0.119850089765803,0.0505050505050505,1
"297",0.0991138642108402,0.0707070707070707,1
"298",0.0858846941093898,0.121212121212121,1
"299",0.138231255716922,0.0505050505050505,1
"300",0.121499775873631,0.0505050505050505,1
"301",0.112806313011652,0.101010101010101,1
"302",0.113693627979685,0.111111111111111,1
"303",0.105581833370489,0.0202020202020202,1
"304",0.134048431568646,0.0404040404040404,1
"305",0.11335471511222,0.101010101010101,1
"306",0.170633042801859,0.0505050505050505,1
"307",0.139976543026196,0.0101010101010101,1
"308",0.101607665356055,0.101010101010101,1
"309",0.134539931960099,0.484848484848485,1
"310",0.127772182433476,0.0101010101010101,1
"311",0.144315664832087,0.121212121212121,1
"312",0.132310172365312,0.303030303030303,1
"313",0.141903827736784,0.0101010101010101,1
"314",0.115297302303615,0.0808080808080808,1
"315",0.137072031391689,0.0202020202020202,1
"316",0.104654767662614,0.101010101010101,1
"317",0.122150337081217,0.0101010101010101,1
"318",0.100151231396865,0.252525252525253,1
"319",0.140542923095138,0.252525252525253,1
"320",0.137868884466472,0.0202020202020202,1
